# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
0.72381           	nut               	0.0000000000e+00	(1.2113283940e-01 -3.5153228408e-01 0.0000000000e+00)	0	8.7613188734e-04	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0
0.72381           	U                 	(3.0070574936e-01 -1.7733800304e-01 -3.1364389988e-23)	(1.0273877814e+00 -5.7406581358e-01 0.0000000000e+00)	0	(1.1881923655e+00 3.5254245916e-01 1.6636437280e-22)	(4.0838072242e-02 -2.9187646083e-01 0.0000000000e+00)	0
0.72381           	k                 	1.0834334679e-06	(9.6814483520e-01 -5.9118772152e-01 3.9673273997e-17)	0	1.0000000000e-02	(5.0000000000e-02 -4.5000000000e-01 0.0000000000e+00)	0
0.72381           	p                 	-6.6221418064e-01	(8.1336446136e-02 -3.4890217875e-01 0.0000000000e+00)	0	4.3066066655e-01	(5.2379368030e-03 -3.8184568377e-01 0.0000000000e+00)	0
0.72381           	omega             	6.4049358025e+00	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0	7.8141746412e+04	(9.6852291790e-01 -5.9540051489e-01 0.0000000000e+00)	0
0.733333          	nut               	0.0000000000e+00	(1.2140816709e-01 -3.4962457709e-01 0.0000000000e+00)	0	8.8383984449e-04	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0
0.733333          	U                 	(8.7851066614e-01 -2.7701076279e-01 -1.1078233462e-23)	(9.5000000000e-01 -4.5000000000e-01 0.0000000000e+00)	0	(1.0751039294e+00 4.2360738384e-01 2.0934306188e-22)	(1.1285786828e-02 -3.0836345899e-01 0.0000000000e+00)	0
0.733333          	k                 	1.0309259899e-06	(9.6774345240e-01 -5.9165894358e-01 -2.6448849331e-17)	0	1.0000000000e-02	(5.0000000000e-02 -4.5000000000e-01 0.0000000000e+00)	0
0.733333          	p                 	-6.4415137348e-01	(8.1619320795e-02 -3.4688266502e-01 0.0000000000e+00)	0	4.5233657269e-01	(5.4285494903e-03 -3.7961222374e-01 0.0000000000e+00)	0
0.733333          	omega             	6.3175462176e+00	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0	7.8141746399e+04	(9.6810969680e-01 -5.9587278264e-01 0.0000000000e+00)	0
0.742857          	nut               	0.0000000000e+00	(1.2168435334e-01 -3.4770311925e-01 0.0000000000e+00)	0	8.9154284132e-04	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0
0.742857          	U                 	(8.7662138590e-01 -2.7707464867e-01 -5.9368975269e-23)	(9.5000000000e-01 -4.5000000000e-01 0.0000000000e+00)	0	(1.0539259164e+00 2.1421344210e-01 1.7175331119e-22)	(-3.4646503780e-02 -2.3053538502e-01 3.0454489887e-17)	0
0.742857          	k                 	9.8673589385e-07	(9.6733819511e-01 -5.9210776242e-01 0.0000000000e+00)	0	1.0000000000e-02	(5.0000000000e-02 -4.5000000000e-01 0.0000000000e+00)	0
0.742857          	p                 	-6.4547665696e-01	(8.1903345384e-02 -3.4484973923e-01 0.0000000000e+00)	0	4.5102956991e-01	(1.0017533774e-02 -3.8477545636e-01 -1.1418646979e-17)	0
0.742857          	omega             	6.2320697540e+00	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0	7.8141746387e+04	(9.6769263192e-01 -5.9632261107e-01 0.0000000000e+00)	0
0.752381          	nut               	0.0000000000e+00	(1.2196135331e-01 -3.4576811405e-01 0.0000000000e+00)	0	8.9923391200e-04	(7.5000000000e-01 -7.5000000000e-01 0.0000000000e+00)	0
0.752381          	U                 	(5.4849440081e-01 -2.0836689623e-01 -8.4129377399e-24)	(1.0500000000e+00 -5.5000000000e-01 0.0000000000e+00)	0	(1.0238717327e+00 6.4090516940e-01 1.2226865338e-22)	(2.3088547493e-02 -3.3904401016e-01 3.0969962670e-17)	0
0.752381          	k                 	9.4828896097e-07	(9.6692915177e-01 -5.9253413538e-01 0.0000000000e+00)	0	1.0000000000e-02	(5.0000000000e-02 -4.5000000000e-01 0.0000000000e+00)	0
0.752381          	p                 	-5.8487921941e-01	(8.2188471482e-02 -3.4280361702e-01 0.0000000000e+00)	0	5.1546032514e-01	(1.0191407972e-02 -3.8252836554e-01 0.0000000000e+00)	0
