# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
0.000311517       	omega             	1.4994778842e+01	(1.1950000000e+01 5.9500000000e+00 3.0454034356e-17)	3	7.8142849578e+04	(9.8503265491e-01 -4.9688898922e-01 0.0000000000e+00)	0
0.000385806       	nut               	0.0000000000e+00	(1.0437152789e-01 -4.5243510299e-01 0.0000000000e+00)	0	6.6675946678e-04	(-4.3581261975e-02 -5.4358821609e-01 0.0000000000e+00)	0
0.000385806       	U                 	(6.3929588315e-01 -3.8396442716e-01 -1.3843902967e-25)	(-4.7657407491e-03 -5.1758662242e-01 1.3853200712e-17)	0	(1.1180295604e+00 4.0659070278e-01 6.9192829522e-26)	(4.7288648366e-02 -4.5442216823e-01 0.0000000000e+00)	0
0.000385806       	k                 	8.0830114322e-03	(9.9057286548e-01 -4.9675304256e-01 0.0000000000e+00)	0	3.0015046321e-02	(9.8503192390e-01 -5.0326725187e-01 0.0000000000e+00)	0
0.000385806       	p                 	0.0000000000e+00	(-5.0000000000e-02 -5.5000000000e-01 1.4456028966e-17)	0	1.4662772522e+01	(5.0000000000e-02 -2.5000000000e-01 0.0000000000e+00)	2
0.000385806       	omega             	1.4993534317e+01	(1.1950000000e+01 5.9500000000e+00 3.0454034356e-17)	3	7.8142820857e+04	(9.8503273059e-01 -4.9690425193e-01 0.0000000000e+00)	0
0.00047496        	nut               	0.0000000000e+00	(1.0437292137e-01 -4.5242762077e-01 0.0000000000e+00)	0	6.6677987331e-04	(-4.3582538909e-02 -5.4357639933e-01 0.0000000000e+00)	0
0.00047496        	U                 	(5.1666666703e-01 -5.0184040974e-01 -2.0705880598e-24)	(-1.5741701734e-03 -5.0833597832e-01 0.0000000000e+00)	0	(1.1510861816e+00 1.5785143398e-01 1.0819657350e-24)	(1.5367124909e-01 -4.4244650241e-01 3.2094311276e-17)	0
0.00047496        	k                 	7.8332918797e-03	(9.9057296021e-01 -4.9677152295e-01 2.2506811902e-17)	0	3.1481157883e-02	(9.8503182779e-01 -5.0328556994e-01 0.0000000000e+00)	0
0.00047496        	p                 	0.0000000000e+00	(-5.0000000000e-02 -5.5000000000e-01 1.4456028966e-17)	0	6.3477205120e+00	(5.0000000000e-02 -2.5000000000e-01 0.0000000000e+00)	2
0.00047496        	omega             	1.4992041075e+01	(1.1950000000e+01 5.9500000000e+00 3.0454034356e-17)	3	7.8142786171e+04	(9.8503282089e-01 -4.9692257001e-01 0.0000000000e+00)	0
0.000581944       	nut               	0.0000000000e+00	(1.0437459380e-01 -4.5241864417e-01 0.0000000000e+00)	0	6.6680446048e-04	(-6.2334896807e-02 -5.1238784456e-01 0.0000000000e+00)	0
0.000581944       	U                 	(6.9927528258e-01 -7.0190195472e-01 -1.0685826929e-24)	(4.6977416245e-03 -5.2032179928e-01 1.2657594542e-17)	0	(1.0877916155e+00 4.0748450824e-01 1.5695470479e-25)	(5.9569158059e-02 -4.5384328678e-01 0.0000000000e+00)	0
0.000581944       	k                 	7.5734856267e-03	(9.9057307314e-01 -4.9679370155e-01 -1.5516662214e-17)	0	3.2368120796e-02	(9.8503171171e-01 -5.0330755373e-01 0.0000000000e+00)	0
0.000581944       	p                 	0.0000000000e+00	(-5.0000000000e-02 -5.5000000000e-01 1.4456028966e-17)	0	1.0293444587e+01	(-2.5000000000e-01 -5.5000000000e-01 0.0000000000e+00)	0
0.000581944       	omega             	1.4990249614e+01	(1.1950000000e+01 5.9500000000e+00 3.0454034356e-17)	3	7.8142744299e+04	(9.8503292851e-01 -4.9694455384e-01 0.0000000000e+00)	0
0.000710352       	nut               	0.0000000000e+00	(1.0437660152e-01 -4.5240787288e-01 0.0000000000e+00)	0	6.6683283509e-04	(-4.3585908892e-02 -5.4354520645e-01 1.4334060969e-17)	0
0.000710352       	U                 	(4.9802592703e-01 -4.9449576736e-01 -2.6466865176e-25)	(-1.5748143502e-03 -5.0830803500e-01 0.0000000000e+00)	0	(1.1234919853e+00 2.6437128275e-01 6.4475572552e-25)	(8.4416298001e-02 -4.5320632249e-01 0.0000000000e+00)	0
0.000710352       	k                 	7.1780050908e-03	(9.8503305662e-01 -4.9697094315e-01 0.0000000000e+00)	0	3.2568223815e-02	(9.8503157132e-01 -5.0333394298e-01 0.0000000000e+00)	0
0.000710352       	p                 	0.0000000000e+00	(-5.0000000000e-02 -5.5000000000e-01 1.4456028966e-17)	0	4.1066921039e+00	(-1.5708991427e-03 -4.9152325095e-01 0.0000000000e+00)	0
0.000710352       	omega             	1.4988100018e+01	(1.1950000000e+01 5.9500000000e+00 3.0454034356e-17)	3	7.8142694339e+04	(9.8503305662e-01 -4.9697094315e-01 0.0000000000e+00)	0
0.000864481       	nut               	0.0000000000e+00	(1.0437901195e-01 -4.5239494825e-01 0.0000000000e+00)	0	6.6686926458e-04	(1.2614201688e-02 -4.1257929205e-01 3.0473800548e-17)	0
0.000864481       	U                 	(3.2056826147e-01 -1.8663224635e-01 -6.7518709414e-26)	(-8.4889989966e-03 -5.0288544882e-01 -2.3582181762e-17)	0	(1.1846221791e+00 2.4464840102e-01 2.0773726276e-25)	(9.7079479817e-02 -4.4154106430e-01 0.0000000000e+00)	0
